Day of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
"August 21, 2020",8/21/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,850.641763
"August 22, 2020",8/22/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,773.0076
"August 23, 2020",8/23/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,691.983772
"August 24, 2020",8/24/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,814.690264
"August 25, 2020",8/25/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,838.651753
"August 26, 2020",8/26/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,848.058986
"August 27, 2020",8/27/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,864.74007
"August 28, 2020",8/28/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,880.802558
"August 29, 2020",8/29/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,829.133234
"August 30, 2020",8/30/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,769.157618
"August 31, 2020",8/31/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,893.009694
"September 1, 2020",9/1/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,907.937587
"September 2, 2020",9/2/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,913.165224
"September 3, 2020",9/3/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,918.142397
"September 4, 2020",9/4/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,933.156251
"September 5, 2020",9/5/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,862.78065
"September 6, 2020",9/6/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,779.474802
"September 7, 2020",9/7/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,814.747103
"September 8, 2020",9/8/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,930.125294
"September 9, 2020",9/9/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,954.7722
"September 10, 2020",9/10/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,978.246161
"September 11, 2020",9/11/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,980.418185
"September 12, 2020",9/12/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,918.227607
"September 13, 2020",9/13/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,833.477191
"September 14, 2020",9/14/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,959.916011
"September 15, 2020",9/15/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,950.023681
"September 16, 2020",9/16/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,959.299446
"September 17, 2020",9/17/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,977.820035
"September 18, 2020",9/18/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,975.725889
"September 19, 2020",9/19/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,913.849307
"September 20, 2020",9/20/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,806.32589
"September 21, 2020",9/21/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,899.862898
"September 22, 2020",9/22/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,894.574256
"September 23, 2020",9/23/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,883.855019
"September 24, 2020",9/24/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,898.791382
"September 25, 2020",9/25/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,929.000723
"September 26, 2020",9/26/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,890.620691
"September 27, 2020",9/27/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,839.393818
"September 28, 2020",9/28/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,993.483759
"September 29, 2020",9/29/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1012.395543
